,damage,stcode,ccode,rain1hr,raintot,stide,stidemhhw,windmax,year,gdp,pop,region
219,250,12,89,2.212284483,8.183119286,0.779532952,-0.204631059,37.44299503,1996,888772.2977,52227.22932,2
220,15,13,39,8.271177686,13.02294141,0.864028226,-0.197051071,38.95672386,1996,1102004.101,42084.26165,2
221,12,13,127,10.74553571,19.35342262,0.890416814,-0.188912663,39.31978025,1996,2119101.832,65076.51654,2
222,0,45,43,10.23448276,38.98154841,0.625784078,-0.171909761,39.24773374,1996,1403108.749,56775.71053,2
223,0,45,51,6.453629032,22.33183051,0.641902436,-0.18699033,39.21309283,1996,4321179.982,156300.3083,2
224,0,37,19,4.000811688,8.222898629,0.635793547,-0.156417658,38.2127221,1996,1502829.064,57207.50752,2
225,0,37,129,1.644396552,3.599137931,0.554861342,-0.145649879,35.75277754,1996,4210016.112,149482.1301,2
226,0,37,133,17.63701923,24.8625,0.54343622,-0.15369541,36.14115714,1996,3472464.156,135838.0233,2
227,0,37,31,2.285818713,6.921783626,0.546969103,-0.110126069,35.19319111,1996,1000483.111,58102.74286,2
228,0,37,95,3.138113839,10.56138393,0.391324532,-0.077389069,36.09843823,1996,140139.7962,6142.252632,2
229,0,37,55,1.759517766,5.400902278,0.418230211,-0.133357233,36.05630347,1996,987885.8594,30344.34737,2
230,100,37,53,7.946828358,16.59514925,0.427890603,-0.169234618,34.68112923,1996,183611.9977,17751.26692,2
231,30,24,37,0.183653846,0.445964452,0.245547936,-0.02221487,19.28809169,1996,1907336.171,84213.28496,3
232,30,24,9,0.361111111,0.543803419,0.221501458,-0.052080359,18.57876638,1996,1293718.69,78853.13835,3
233,15,24,3,1.388888889,2.172697208,0.280254863,0.015006994,17.53941659,1996,13128579.64,475442.7917,3
234,0,24,15,0.89516129,3.517856397,0.507404305,0.105502221,14.97335611,1996,1041924.398,89810.54135,3
235,0,24,29,0.359375,0.757986111,0.414412215,0.068913948,16.23147845,1996,540392.2617,19766.09023,3
236,0,24,35,0.550245098,0.900245098,0.309888764,-0.003934832,16.87719776,1996,643143.7992,40951.54812,3
237,0,24,41,0.820723684,0.98493937,0.322545396,-0.022586408,17.5805276,1996,1128412.99,35062.41955,3
238,0,24,19,1.054906542,1.23254965,0.389109164,0.02469193,18.65861712,1996,795335.9812,30838.45414,3
239,0,24,39,2.15625,3.931828494,0.395450452,0.01091886,19.27156917,1996,375994.1195,25898.67218,3
240,100,24,47,5.776388889,23.83819444,0.413043861,-0.164162488,19.07149018,1996,1306138.137,48473.60752,3
241,0,10,5,3.916241497,12.9015823,0.555578038,-0.213464591,17.501218,1996,3941172.265,142072.8722,3
