fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
12089,107,91,596287,1648331.0,116223,120113,249237,110714,85.04672897196262,45110.0,13.218510308135668,36.540257149190865,1321.851030813567
12091,135,120,478397,1402746.0,84954,60090,247472,85881,88.88888888888889,105882.0,4.518208949585388,13.248200827336092,451.82089495853876
12093,186,151,830052,2464107.0,170589,134880,329620,194963,81.18279569892474,23163.0,35.835254500712345,106.38116824245564,3583.5254500712344
12095,159,131,2447858,5571357.0,631537,522788,1114722,178811,82.38993710691824,569175.0,4.300712434664207,9.788478060350508,430.0712434664207
12097,185,150,702980,1800295.0,184864,140055,264330,113731,81.08108108108108,162224.0,4.3333908669494035,11.097587286714667,433.33908669494036
12099,228,192,2559297,5982177.0,667569,496785,1183945,210998,84.21052631578948,712349.0,3.59275720187717,8.39781764275657,359.27572018771696
12101,170,140,3244159,8903116.0,735386,606077,1284841,617855,82.3529411764706,283753.0,11.433038593424563,31.376288532632255,1143.3038593424562
12103,161,127,3798216,10558773.0,724024,699713,1703946,670533,78.88198757763975,548311.0,6.927119827980835,19.256905296446725,692.7119827980836
12105,226,188,3877487,10380149.0,916452,736307,1540326,684402,83.1858407079646,336343.0,11.52837133521435,30.86179584531267,1152.8371335214351
12107,128,98,1056565,3260116.0,177711,150568,479293,248993,76.5625,42962.0,24.59301242958894,75.88371118663005,2459.301242958894
12109,120,95,851645,2237875.0,204409,163713,343795,139728,79.16666666666667,119664.0,7.116969180371707,18.70132203503142,711.6969180371707
12111,171,138,1209883,3208498.0,229943,255941,540460,183539,80.70175438596492,151270.0,7.998168837178555,21.210405235671317,799.8168837178555
12113,145,114,820679,2469360.0,125205,148449,362148,184877,78.62068965517241,79847.0,10.27814445126304,30.926146254712137,1027.814445126304
12115,196,167,3480120,9023184.0,669860,776209,1542397,491654,85.20408163265306,269096.0,12.932633706929868,33.531468323572255,1293.2633706929869
12117,119,96,976998,2052700.0,250865,273887,395176,57070,80.67226890756302,195491.0,4.997662296474006,10.500227631962597,499.7662296474006
12119,141,114,516198,1321684.0,126055,100797,213748,75598,80.85106382978724,75359.0,6.849852041561061,17.538502368662005,684.9852041561061
12121,126,108,690683,1913753.0,150990,129446,276055,134192,85.71428571428571,22781.0,30.318379351213732,84.00654053816777,3031.837935121373
12123,150,128,278009,862913.0,47327,42837,118107,69738,85.33333333333333,11975.0,23.215782881002088,72.05954070981211,2321.5782881002087
12125,104,81,86974,253886.0,14965,15994,37721,18294,77.88461538461539,5293.0,16.431891177026262,47.9663706782543,1643.1891177026262
