fips,median_weighted_damage,median_recovery_months,max_weighted_damage,max_recovery_months,damage_ratio,recovery_ratio
13201,342.0,2051.999995896,2318.0,13907.999972184,6.777777777777778,6.777777777777777
13205,1791.0,859.6800001375487,20234.0,9712.320001553971,11.297599106644332,11.297599106644334
13207,877.0,37.45195729004242,4644.0,198.32028466927824,5.295324971493729,5.295324971493729
13209,985.0,513.9130433888846,6678.0,3484.173912437535,6.779695431472081,6.779695431472082
13211,282.0,20.634146336430696,2109.0,154.3170731330934,7.4787234042553195,7.4787234042553195
13215,333.0,13.731958762886595,1863.0,76.82474226804123,5.594594594594595,5.594594594594596
13217,173.0,2.0,1843.0,14.943243247281956,10.653179190751445,7.471621623640978
13219,71.0,3.0,96.0,3.4388059697386497,1.352112676056338,1.14626865657955
13221,1875.5,160.75714281121225,1938.0,166.1142856668245,1.033324446814183,1.033324446814183
13225,1536.0,123.70469795336788,6342.0,510.7651005340228,4.12890625,4.128906249999999
13229,3242.0,442.0909091110042,17325.0,2362.5000001073863,5.3439235040098705,5.34392350400987
13231,1876.5,247.45054946142642,3645.0,480.6593406804686,1.9424460431654675,1.9424460431654675
13235,223.0,63.71428571428572,1989.0,568.2857142857143,8.919282511210762,8.919282511210762
13237,8159.0,758.9767441860465,12914.0,1201.3023255813953,1.5827920088246108,1.5827920088246108
13239,2952.0,2952.0,5892.0,5892.0,1.9959349593495934,1.9959349593495934
13243,487.0,834.857143334204,3318.0,5688.000003250286,6.813141683778234,6.813141683778235
13245,3256.5,69.65775401069519,7165.0,153.2620320855615,2.200214954705973,2.2002149547059724
13247,591.0,14.683229813664596,591.0,14.683229813664596,1.0,1.0
13249,385.0,256.66666666666663,1647.0,1098.0,4.277922077922078,4.277922077922079
13251,2292.0,1195.826086748552,13611.0,7101.391303112801,5.93848167539267,5.93848167539267
13253,1562.0,4686.0000046860005,13740.0,41220.00004122,8.79641485275288,8.79641485275288
13255,1078.0,37.82456140350877,1078.0,37.82456140350877,1.0,1.0
13259,772.5,4634.99999073,5406.0,32435.999935128,6.998058252427184,6.998058252427184
13261,701.0,215.69230769230768,8058.0,2479.3846153846152,11.495007132667618,11.495007132667618
13263,651.5,3908.9999921820004,2376.0,14255.999971488,3.646968534151957,3.6469685341519567
13267,2122.0,553.5652174394404,17007.0,4436.608696037966,8.014608859566447,8.014608859566447
13269,1221.0,1331.9999995156363,7360.0,8029.09090617124,6.027846027846028,6.027846027846028
13271,679.0,8148.000032592001,4779.0,57348.000229392,7.0382916053019144,7.038291605301914
13273,442.5,2654.99999469,4586.0,27515.999944968,10.363841807909605,10.363841807909603
13275,1792.5,100.98591549295773,35351.0,1991.605633802817,19.721617852161785,19.72161785216179
13277,2444.5,166.6704545075749,17901.0,1220.5227269953357,7.322969932501534,7.322969932501533
13279,1823.0,662.909090909091,10328.0,3755.636363636364,5.665386725178277,5.665386725178277
13285,580.5,14.69620253164557,1109.0,28.075949367088608,1.9104220499569338,1.9104220499569338
13287,445.0,593.3333333333333,3336.0,4448.0,7.496629213483146,7.496629213483147
13289,257.0,440.5714288231837,3799.0,6512.571432292898,14.782101167315176,14.782101167315174
13293,210.0,22.7027027027027,11083.0,1198.162162162162,52.77619047619048,52.77619047619047
13297,513.5,9.101920235799001,954.0,16.909896601659682,1.857838364167478,1.8578383641674778
13299,2479.0,661.0666666666667,28260.0,7536.0,11.399757966922145,11.399757966922145
13301,22.0,264.00000105600003,903.0,10836.000043344,41.04545454545455,41.04545454545454
13303,585.0,106.36363636363636,4823.0,876.9090909090909,8.244444444444444,8.244444444444444
13305,3171.0,233.447852818024,23624.0,1739.190184475875,7.450015767896563,7.450015767896564
13317,1857.0,825.3333333333334,2343.0,1041.3333333333333,1.2617124394184167,1.2617124394184167
13321,1647.0,760.1538460368995,8027.0,3704.7692301992665,4.87370977534912,4.873709775349119
22001,7210.0,631.5328465309393,132709.0,11624.145982007549,18.40624133148405,18.40624133148405
22003,2298.0,599.4782609216937,28252.0,7370.086957162616,12.294168842471715,12.294168842471715
22005,15098.0,312.9119170984456,266264.0,5518.424870466321,17.635713339515167,17.635713339515167
22007,3862.5,1545.0,44262.0,17704.8,11.459417475728156,11.459417475728156
