fips,earp_months_per_year,num_events,total_recovery_months,mean_recovery_per_event,max_recovery
13069,16.60141806521452,69,24655.327271830753,357.32358364972106,2561.454545361402
13071,25.206826734264094,78,37435.51063989083,479.94244410116454,2726.8085107543325
13073,0.02915012648919267,11,43.29183843109375,3.9356216755539775,22.67436109568816
13075,29.411978294518246,70,43680.72340053798,624.0103342933998,3970.978723066299
13077,0.008071689470404986,2,11.98753894080997,5.993769470404985,11.98753894080997
13079,7.288232160677975,17,10824.000001006883,636.7058824121696,2310.976744401021
13081,16.662279257142856,37,24745.714285714286,668.8030888030888,3509.1428571428573
13087,15.82834975826087,98,23507.217391304348,239.8695652173913,3393.391304347826
13089,0.0,3,0.0,0.0,0.0
13091,23.16999197482133,40,34410.53847212601,860.2634618031503,4095.692308952521
13093,4.928701889812997,31,7319.781818714167,236.1219941520699,1386.9818182826896
13095,17.465272477333336,52,25938.266666666666,498.8128205128205,10501.6
13097,0.0,1,0.0,0.0,0.0
13099,53.972730722191734,68,80156.72724357937,1178.7754006408732,5458.909088924033
13101,35.91346943258876,95,53336.307708718865,561.4348179865144,3038.769231704237
13103,4.211161789750759,83,6254.1387556817635,75.35106934556342,724.5071769988274
13105,0.7821937184009249,3,1161.6623376019916,387.22077920066386,591.4285713978478
13107,5.897147159257674,42,8758.052632039793,208.52506266761412,1543.2631579759611
13109,19.751444784653625,62,29333.53845702561,473.1215880165421,2760.9230764983195
13113,0.0,2,0.0,0.0,0.0
13119,0.05809726234554534,3,86.2822086101306,28.760736203376865,82.45398775029545
13121,0.00067334,2,1.0,0.5,1.0
13125,0.0,0,0.0,,
13127,3.2299697814045083,88,4796.937329439077,54.5106514708986,1450.839236978156
13131,38.7017590635419,91,57477.290913271005,631.6185814645165,8281.309091511368
13133,0.22218850497927983,5,329.9796610616922,65.99593221233843,133.74915256050838
13135,0.0,1,0.0,0.0,0.0
13139,0.0,1,0.0,0.0,0.0
13141,1.8720775831244862,10,2780.285714682755,278.0285714682755,1322.571428760367
13145,0.2482593892063492,15,368.6984126984127,24.57989417989418,86.34920634920636
13147,0.054279125634287266,3,80.61176468691488,26.870588228971627,67.83529410168582
13149,0.006625665599469947,4,9.8399999992128,2.4599999998032,8.1599999993472
13151,0.01144678,8,17.0,2.125,8.784313725490197
13153,0.25654515491262136,16,381.0038834951456,23.8127427184466,114.24466019417476
13155,12.227012723471793,51,18158.749997730407,356.0539215241256,1610.9999997986251
13157,0.021294571706745653,4,31.625288423004207,7.906322105751052,18.750346104060977
13159,0.3346058265573771,7,496.9344262295082,70.99063231850117,262.42622950819674
13161,60.00913816800366,57,89121.60003564865,1563.536842730678,7474.80000298992
13163,11.02042111640817,19,16366.80000654672,861.4105266603538,4914.0000019656
13165,8.549109406935491,37,12696.571430385082,343.1505791995968,1876.714285982388
13167,0.0,0,0.0,,
13169,2.2126460581967033,12,3286.0754718221156,273.83962265184294,1368.5660377874929
13171,0.2774787162790698,11,412.09302325581393,37.4630021141649,315.3488372093023
13173,21.464155368975526,68,31877.142853499758,468.781512551467,3617.828571015106
13175,11.15168568517467,30,16561.745455749948,552.0581818583316,2584.1454547333924
13177,2.8921876837267715,47,4295.285715577229,91.38905777823892,1194.4060153968137
13179,3.0581473059872613,96,4541.75796178344,47.3099787685775,684.1783439490446
13181,0.11727035026393133,4,174.16216215274798,43.540540538186995,98.91891891357194
13183,4.623699246929266,82,6866.812081458499,83.74161074949389,474.1208054327679
13185,4.088658754996373,99,6072.205356872268,61.33540764517442,1609.2589284995868
13189,0.4925061262807817,10,731.4375000457148,73.14375000457149,331.8750000207422
13191,12.287304493790641,92,18248.291344329224,198.35099287314372,1079.3385830171144
13193,17.64627318081424,27,26207.07693114064,970.6324789311349,5610.4615401878345
13195,0.8982996876190477,3,1334.095238095238,444.6984126984127,673.6507936507936
13197,11.626657968106668,23,17267.142852209385,750.745341400408,4052.5714274135503
13199,0.15666377333333334,13,232.66666666666666,17.897435897435898,120.86666666666666
13201,114.38565229122871,70,169877.999660244,2426.8285665749145,13349.9999733
13205,50.53801851288598,74,75055.72001200875,1014.2664866487669,9692.640001550822
13207,0.3684583573854645,12,547.2099643352014,45.60083036126679,198.32028466927824
13209,17.2899659656887,43,25677.913039012536,597.1607683491287,3390.2608689756066
13211,0.1155845589961989,6,171.65853654349792,28.609756090582987,134.26829265017847
13215,0.11609214597938144,17,172.41237113402062,10.141904184354154,76.82474226804123
13217,0.012755243408124834,8,18.943243247281956,2.3679054059102445,14.943243247281956
13219,0.00532441092497858,5,7.907462685981199,1.5814925371962398,3.2955223876662063
13221,0.32035593362294784,5,475.7714284357796,95.15428568715592,166.1142856668245
13225,1.2870329213996352,17,1911.4161068696872,112.43624158056983,510.0402683194523
13229,19.86900853999405,79,29508.136364977643,373.5207134807297,2266.363636466653
13231,0.3324375771574698,8,493.71428573598746,61.71428571699843,480.6593406804686
13235,2.262807165714286,26,3360.571428571429,129.25274725274727,568.2857142857143
13237,1.5666586120930233,6,2326.6976744186045,387.7829457364341,997.953488372093
13239,32.4684548,29,48220.0,1662.7586206896551,5892.0
13243,36.05100838631486,49,53540.57145916604,1092.66472365645,5688.000003250286
13245,0.3764042614973262,17,559.0106951871658,32.88298206983328,153.2620320855615
